symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,best_risk_pct
LVMH,M30,equity,0.002187,1.5,4.5,1.0,2.0,0.5,24,0.008
AMZN,H1,equity,0.001165,1.5,4.5,1.0,2.0,0.5,24,0.012
JP225.cash,H4,index,0.001663,1.5,6.0,0.8,2.5,1.0,30,0.008
NZD_USD,H4,forex,0.000145,1.5,6.0,0.8,2.5,1.0,30,0.012
BCHUSD,H4,crypto,0.000693,1.5,6.0,1.0,3.0,1.0,30,0.006
MSFT,H1,equity,0.000138,1.5,4.5,1.0,2.0,0.5,24,0.007
CAD_JPY,H4,forex,0.000658,1.5,6.0,0.8,2.5,1.0,30,0.004
US100.cash,H4,index,0.001532,1.5,6.0,0.8,2.5,1.0,30,0.006
BABA,H1,equity,0.00077,1.5,4.5,1.0,2.0,0.5,24,0.005
NVDA,H1,equity,0.001117,1.5,4.5,1.0,2.0,0.5,24,0.007
US30.cash,H4,index,0.00098,1.5,6.0,0.8,2.5,1.0,30,0.004
META,H1,equity,0.00143,1.5,4.5,1.0,2.0,0.5,24,0.007
AUS200.cash,H4,index,0.000518,1.5,6.0,0.8,2.5,1.0,30,0.006
GOOG,H1,equity,0.000106,1.5,4.5,1.0,2.0,0.5,24,0.008
GER40.cash,H4,index,0.001242,1.5,6.0,0.8,2.5,1.0,30,0.003
US2000.cash,H4,index,0.001348,1.5,6.0,0.8,2.5,1.0,30,0.003
HK50.cash,H4,index,0.003685,1.5,6.0,0.8,2.5,1.0,30,0.003
UKOIL.cash,H4,commodity,0.001558,1.5,6.0,0.8,2.5,1.0,30,0.007
US500.cash,H4,index,0.000912,1.5,6.0,0.8,2.5,1.0,30,0.002
XAU_USD,H4,commodity,0.001271,1.5,6.0,0.8,2.5,1.0,30,0.003
XAG_AUD,H4,commodity,0.00237,1.5,6.0,0.8,2.5,1.0,30,0.003
